,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
15,1,15,dönüşümün,18.0,26.0,nmod:poss,dönüş,NOUN,NN,"{'Case': 'Gen', 'Number': 'Sing'}",,
16,1,16,büyük,18.0,4.0,amod,büyük,ADJ,JJ,{'Number': 'Sing'},,
17,1,17,bir,18.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
18,1,18,kısmı,19.0,27.0,nsubj,kısım,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
19,1,19,emsalsiz,28.0,2.0,advcl,emsalsiz,ADJ,JJ,{'Number': 'Sing'},,
20,1,20,olsa,19.0,13.0,cop,ol,AUX,VB,"{'Mood': 'Cnd', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,
21,1,21,da,19.0,3.0,advmod:emph,da,ADV,RB,,,{'SpaceAfter': 'No'}
22,1,22,",",19.0,33.0,punct,",",PUNCT,",",,,
23,1,23,başkanlık,24.0,26.0,nmod:poss,başkanlık,NOUN,NN,{'Number': 'Sing'},,
24,1,24,görevinin,27.0,26.0,nmod:poss,görev,NOUN,NN,"{'Case': 'Gen', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
25,1,25,sorunsuz,26.0,4.0,amod,sorunsuz,ADJ,JJ,{'Number': 'Sing'},,
26,1,26,şekilde,27.0,30.0,obl,şekil,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
27,1,27,devredildiği,28.0,14.0,csubj,devredil,NOUN,VN,"{'Case': 'Nom', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
28,1,28,görülmemiştir,30.0,9.0,ccomp,görülme,VERB,VB,"{'Aspect': 'Perf', 'Evident': 'Nfh', 'Mood': 'Gen', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Neg', 'Tense': 'Past', 'Voice': 'Pass'}",,{'SpaceAfter': 'No'}
29,1,29,"""",28.0,33.0,punct,"""",PUNCT,'',,,
30,1,30,dedi,0.0,35.0,root,de,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,{'SpaceAfter': 'No'}
31,1,31,.,30.0,33.0,punct,.,PUNCT,.,,,
32,2,1,Bu,2.0,16.0,det,bu,DET,DT,"{'Definite': 'Def', 'Polarity': 'Pos'}",,
33,2,2,durum,15.0,27.0,nsubj,durum,NOUN,NN,"{'Aspect': 'Hab', 'Case': 'Nom', 'Number': 'Sing'}",,
34,2,3,Capitol,5.0,26.0,nmod:poss,Capitol,PROPN,PROPN,{'Number': 'Sing'},,{'Proper': 'True'}
35,2,4,Hill,3.0,21.0,flat,Hill,PROPN,PROPN,{'Number': 'Sing'},,{'Proper': 'True'}
37,2,5,hakkında,9.0,4.0,amod,hak,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
38,2,6,ki,5.0,7.0,case,ki,ADP,JJ,,,
39,2,7,sosyal,8.0,4.0,amod,sosyal,ADJ,JJ,{'Number': 'Sing'},,
40,2,8,medya,9.0,26.0,nmod:poss,medya,NOUN,NN,{'Number': 'Sing'},,
41,2,9,hareketlerini,10.0,29.0,obj,hareket,NOUN,NN,"{'Case': 'Acc', 'Number': 'Plur', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
42,2,10,takip,15.0,30.0,obl,takip,NOUN,NN,{'Number': 'Sing'},,
43,2,11,edenler,10.0,11.0,compound:lvc,_,NOUN,VN,"{'Number': 'Plur', 'Polarity': 'Pos'}",,
44,2,12,için,10.0,7.0,case,için,ADP,IN,,,
45,2,13,biraz,14.0,3.0,advmod,biraz,ADV,RB,,,
46,2,14,daha,15.0,3.0,advmod,daha,ADV,RB,,,
47,2,15,farklı,0.0,35.0,root,farklı,ADJ,JJ,{'Number': 'Sing'},,
48,2,16,olacak,15.0,13.0,cop,ol,AUX,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut'}",,{'SpaceAfter': 'No'}
49,2,17,.,15.0,33.0,punct,.,PUNCT,.,,,
50,3,1,Cumhuriyetçi,2.0,26.0,nmod:poss,cumhuriyetçi,NOUN,NN,{'Number': 'Sing'},,{'Proper': 'True'}
51,3,2,Parti,4.0,26.0,nmod:poss,parti,NOUN,NN,{'Number': 'Sing'},,{'Proper': 'True'}
52,3,3,Başkan,4.0,26.0,nmod:poss,başkan,NOUN,NN,{'Number': 'Sing'},,
53,3,4,adayı,5.0,26.0,nmod,aday,NOUN,NN,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
54,3,5,Trump,31.0,27.0,nsubj,Trump,PROPN,PROPN,"{'Case': 'Nom', 'Number': 'Sing'}",,"{'Proper': 'True', 'SpaceAfter': 'No'}"
55,3,6,",",5.0,33.0,punct,",",PUNCT,",",,,
56,3,7,göç,8.0,26.0,nmod:poss,göç,NOUN,NN,{'Number': 'Sing'},,
57,3,8,kısıtlamasına,10.0,26.0,nmod,kısıtla,NOUN,VN,"{'Case': 'Dat', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
58,3,9,dair,8.0,7.0,case,dair,ADP,IN,,,
59,3,10,yaptığı,13.0,1.0,acl,yap,ADJ,VJ,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
61,3,11,önce,13.0,4.0,amod,önce,ADP,IN,,,
62,3,12,ki,11.0,7.0,case,ki,ADP,JJ,,,
63,3,13,açıklamaların,31.0,30.0,obl,açıkla,NOUN,VN,"{'Case': 'Gen', 'Number': 'Plur', 'Polarity': 'Pos'}",,
64,3,14,aksine,13.0,7.0,case,ak,ADP,IN,,,{'SpaceAfter': 'No'}
65,3,15,",",13.0,33.0,punct,",",PUNCT,",",,,
66,3,16,başkan,30.0,2.0,advcl,başkan,NOUN,NN,{'Number': 'Sing'},,
67,3,17,olursa,16.0,13.0,cop,ol,AUX,VB,"{'Aspect': 'Hab', 'Mood': 'CndGen', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,
68,3,18,"""",21.0,33.0,punct,"""",PUNCT,``,,,{'SpaceAfter': 'No'}
69,3,19,liyakat,20.0,26.0,nmod:poss,liyakat,NOUN,NN,{'Number': 'Sing'},,
70,3,20,"sistemi""ne",21.0,29.0,obj,_,NOUN,NN,"{'Case': 'Dat', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}",,
71,3,21,dayanarak,30.0,2.0,advcl,dayan,ADV,CRB,,,
72,3,22,"""",21.0,33.0,punct,"""",PUNCT,``,,,{'SpaceAfter': 'No'}
73,3,23,muazzam,24.0,4.0,amod,muazzam,ADJ,JJ,{'Number': 'Sing'},,
74,3,24,sayıda,27.0,4.0,amod,sayı,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
75,3,25,"""",24.0,33.0,punct,"""",PUNCT,'',,,
76,3,26,yasal,27.0,4.0,amod,yasal,ADJ,JJ,{'Number': 'Sing'},,
77,3,27,göçmenin,29.0,26.0,nmod:poss,göçmen,NOUN,NN,"{'Case': 'Gen', 'Number': 'Sing'}",,
78,3,28,ülkeye,29.0,30.0,obl,ülke,NOUN,NN,"{'Case': 'Dat', 'Number': 'Sing'}",,
79,3,29,girişini,30.0,29.0,obj,giriş,NOUN,VN,"{'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
80,3,30,onaylayacağını,31.0,29.0,obj,onaylay,NOUN,VN,"{'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
81,3,31,açıkladı,0.0,35.0,root,açıkla,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,{'SpaceAfter': 'No'}
82,3,32,.,31.0,33.0,punct,.,PUNCT,.,,,
83,4,1,North,3.0,26.0,nmod:poss,North,X,FW,,,{'Proper': 'True'}
84,4,2,Carolina,1.0,21.0,flat,Carolina,PROPN,PROPN,{'Number': 'Sing'},,{'Proper': 'True'}
86,4,3,Üniversitesi'nde,5.0,4.0,amod,üniversite,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,{'Proper': 'True'}
87,4,4,ki,3.0,7.0,case,ki,ADP,JJ,,,
88,4,5,sahada,6.0,30.0,obl,saha,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
89,4,6,toplanmış,7.0,1.0,acl,topla,VERB,VJ,"{'Aspect': 'Perf', 'Evident': 'Nfh', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",,
90,4,7,kalabalığa,20.0,23.0,iobj,kalabalık,NOUN,NN,"{'Case': 'Dat', 'Number': 'Sing'}",,
91,4,8,"""",12.0,33.0,punct,"""",PUNCT,``,,,{'SpaceAfter': 'No'}
92,4,9,Size,11.0,30.0,obl,siz,PRON,PRP,"{'Case': 'Dat', 'Number': 'Sing', 'Person': '2', 'Polarity': 'Pos'}",,
93,4,10,baskı,11.0,29.0,obj,baskı,NOUN,NN,{'Number': 'Sing'},,
94,4,11,yapmak,12.0,37.0,xcomp,yap,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Nom', 'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Vnoun'}",,
95,4,12,istemem,20.0,9.0,ccomp,iste,VERB,VB,"{'Aspect': 'Hab', 'Mood': 'Gen', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Neg', 'Tense': 'Pres'}",,
96,4,13,ama,17.0,8.0,cc,ama,ADV,RB,,,
97,4,14,halkın,15.0,26.0,nmod:poss,halk,NOUN,NN,"{'Case': 'Gen', 'Number': 'Sing'}",,
98,4,15,kaderi,17.0,27.0,nsubj,kader,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
99,4,16,sizin,17.0,26.0,nmod:poss,siz,PRON,PRP$,"{'Case': 'Gen', 'Number': 'Sing', 'Person': '2', 'Polarity': 'Pos'}",,
100,4,17,elinizde,12.0,12.0,conj,eliniz,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Plur', 'Person[psor]': '2'}",,{'SpaceAfter': 'No'}
101,4,18,.,17.0,33.0,punct,_,PUNCT,.,,,{'SpaceAfter': 'No'}
102,4,19,"""",12.0,33.0,punct,_,PUNCT,'',,,
103,4,20,dedi,0.0,35.0,root,de,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,{'SpaceAfter': 'No'}
104,4,21,.,20.0,33.0,punct,.,PUNCT,.,,,
105,5,1,Yeni,2.0,4.0,amod,yeni,ADJ,JJ,{'Number': 'Sing'},,
106,5,2,bütçe,7.0,27.0,nsubj,bütçe,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing'}",,
107,5,3,Clinton'un,6.0,26.0,nmod:poss,Clinton,PROPN,PROPN,"{'Case': 'Gen', 'Number': 'Sing'}",,{'Proper': 'True'}
108,5,4,kabarık,6.0,4.0,amod,kabarık,ADJ,JJ,{'Number': 'Sing'},,
109,5,5,banka,6.0,26.0,nmod:poss,banka,NOUN,NN,{'Number': 'Sing'},,
110,5,6,hesabından,7.0,26.0,nmod,hesab,NOUN,NN,"{'Case': 'Abl', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
111,5,7,sağlanıyor,0.0,35.0,root,sağla,VERB,VB,"{'Aspect': 'Prog', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'Voice': 'Pass'}",,{'SpaceAfter': 'No'}
112,5,8,.,7.0,33.0,punct,.,PUNCT,.,,,
113,6,1,Söylediği,4.0,1.0,acl,söyle,ADJ,VJ,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
114,6,2,ve,3.0,8.0,cc,ve,CCONJ,CCONJ,,,
115,6,3,yaptığı,1.0,12.0,conj,yap,ADJ,VJ,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
116,6,4,şeyler,6.0,27.0,nsubj,şey,NOUN,NN,"{'Case': 'Nom', 'Number': 'Plur'}",,
117,6,5,gerçekten,6.0,3.0,advmod,gerçekten,ADV,RB,,,
118,6,6,inanılmaz,0.0,35.0,root,inan,VERB,VB,"{'Aspect': 'Hab', 'Mood': 'Gen', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Neg', 'Tense': 'Pres', 'Voice': 'Pass'}",,{'SpaceAfter': 'No'}
119,6,7,.,6.0,33.0,punct,.,PUNCT,.,,,
120,7,1,Maksimum,2.0,4.0,amod,Maksimum,ADJ,JJ,{'Number': 'Sing'},,
121,7,2,miktar,6.0,27.0,nsubj,miktar,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing'}",,
122,7,3,kişi,4.0,26.0,nmod:poss,kişi,NOUN,NN,{'Number': 'Sing'},,
123,7,4,başı,6.0,4.0,amod,baş,NOUN,NN,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
124,7,5,5.000,6.0,28.0,nummod,5.000,NUM,CD,{'Number': 'Sing'},,
126,7,6,dolar,0.0,35.0,root,do,NOUN,NN,{'Number': 'Sing'},,
127,7,7,dır,6.0,13.0,cop,i,AUX,AUX,"{'Aspect': 'Perf', 'Mood': 'Gen', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,
128,7,8,.,6.0,33.0,punct,.,PUNCT,.,,,
129,8,1,Ekim'in,3.0,26.0,nmod:poss,Ekim,NOUN,NN,"{'Case': 'Gen', 'Number': 'Sing'}",,
130,8,2,ilk,3.0,4.0,amod,ilk,ADJ,JJ,{'Number': 'Sing'},,
131,8,3,günlerinde,29.0,30.0,obl,gün,NOUN,NN,"{'Case': 'Loc', 'Number': 'Plur', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
132,8,4,dönüşüm,5.0,26.0,nmod:poss,dönüş,NOUN,NN,{'Number': 'Sing'},,
133,8,5,ekibi,29.0,27.0,nsubj,ekip,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
134,8,6,aynı,7.0,4.0,amod,aynı,ADJ,JJ,{'Number': 'Sing'},,
135,8,7,yerde,29.0,30.0,obl,yer,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
136,8,8,Uber,23.0,26.0,nmod:poss,Uber,X,FW,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
137,8,9,",",10.0,33.0,punct,",",PUNCT,",",,,
138,8,10,Motion,8.0,12.0,conj,Motion,X,FW,,,{'Proper': 'True'}
139,8,11,Picture,10.0,21.0,flat,Picture,X,FW,,,{'Proper': 'True'}
140,8,12,Association,10.0,21.0,flat,Association,X,FW,,,{'Proper': 'True'}
141,8,13,of,10.0,21.0,flat,of,X,FW,,,{'Proper': 'True'}
142,8,14,America,10.0,21.0,flat,America,X,FW,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
143,8,15,",",16.0,33.0,punct,",",PUNCT,",",,,
144,8,16,the,8.0,12.0,conj,the,X,FW,,,{'Proper': 'True'}
145,8,17,Consumer,16.0,21.0,flat,Consumer,X,FW,,,{'Proper': 'True'}
146,8,18,Technology,16.0,21.0,flat,Technology,X,FW,,,{'Proper': 'True'}
147,8,19,Association,16.0,21.0,flat,Association,X,FW,,,{'Proper': 'True'}
148,8,20,ve,22.0,8.0,cc,ve,CCONJ,CCONJ,,,
149,8,21,diğer,22.0,16.0,det,diğer,DET,DT,"{'Definite': 'Def', 'Polarity': 'Pos'}",,
150,8,22,derneklerin,8.0,12.0,conj,_,NOUN,NN,"{'Case': 'Gen', 'Number': 'Plur'}",,
151,8,23,temsilcilerini,25.0,29.0,obj,temsilci,NOUN,NN,"{'Case': 'Acc', 'Number': 'Plur', 'Number[psor]': 'Plur', 'Person[psor]': '3'}",,
152,8,24,de,23.0,3.0,advmod:emph,de,ADV,RB,,,
153,8,25,davet,29.0,2.0,advcl,davet,NOUN,NN,{'Number': 'Sing'},,
154,8,26,ederek,25.0,11.0,compound,et,ADV,CRB,,,
155,8,27,teknoloji,28.0,26.0,nmod:poss,teknoloji,NOUN,NN,{'Number': 'Sing'},,
156,8,28,lobicileriyle,29.0,26.0,nmod,lobici,NOUN,NN,"{'Case': 'Ins', 'Number': 'Plur'}",,
157,8,29,buluştu,0.0,35.0,root,buluş,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,{'SpaceAfter': 'No'}
158,8,30,.,29.0,33.0,punct,.,PUNCT,.,,,
159,9,1,Buluşma,2.0,26.0,nmod:poss,buluş,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Nom', 'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Vnoun'}",,
160,9,2,yeri,13.0,27.0,nsubj,yer,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
161,9,3,esasen,13.0,3.0,advmod,esas,ADV,RB,,,
162,9,4,Washington,8.0,26.0,nmod:poss,Washington,PROPN,PROPN,{'Number': 'Sing'},,"{'Proper': 'True', 'SpaceAfter': 'No'}"
163,9,5,",",6.0,33.0,punct,",",PUNCT,",",,,
164,9,6,H,4.0,21.0,flat,h,X,FW,{'Number': 'Sing'},,{'Proper': 'True'}
165,9,7,Street,4.0,21.0,flat,Street,X,FW,,,{'Proper': 'True'}
167,9,8,üzerinde,10.0,4.0,amod,üzer,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
168,9,9,ki,8.0,7.0,case,ki,ADP,JJ,,,
169,9,10,Metropolitan,13.0,2.0,advcl,Metropolitan,PROPN,PROPN,{'Number': 'Sing'},,{'Proper': 'True'}
170,9,11,Club,13.0,2.0,advcl,Club,NOUN,NN,{'Number': 'Sing'},,{'Proper': 'True'}
171,9,12,olarak,10.0,13.0,cop,ol,AUX,CRB,{'Polarity': 'Pos'},,
172,9,13,belirlenmiş,0.0,35.0,root,belirle,VERB,VB,"{'Evident': 'Nfh', 'Mood': 'Ind', 'Voice': 'Pass'}",,{'SpaceAfter': 'No'}
173,9,14,ti,13.0,13.0,cop,i,AUX,Verb,"{'Aspect': 'Perf', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pqp'}",,{'SpaceAfter': 'No'}
174,9,15,.,13.0,33.0,punct,.,PUNCT,.,,,
175,10,1,Belki,6.0,3.0,advmod,belki,ADV,RB,,,
176,10,2,de,1.0,3.0,advmod:emph,de,ADV,RB,,,
177,10,3,kıyafet,4.0,26.0,nmod:poss,kıyafet,NOUN,NN,{'Number': 'Sing'},,
178,10,4,yönetmeliği,6.0,27.0,nsubj,yönetmelik,NOUN,VN,"{'Case': 'Nom', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
179,10,5,çok,6.0,3.0,advmod,çok,ADV,RB,,,
181,10,6,sıkıcı,0.0,35.0,root,sıkıcı,NOUN,VN,{'Number': 'Sing'},,
182,10,7,ydı,6.0,13.0,cop,i,AUX,AUX,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,
183,10,8,.,6.0,33.0,punct,.,PUNCT,.,,,
184,11,1,Fen,2.0,26.0,nmod:poss,fen,NOUN,NN,{'Number': 'Sing'},,
185,11,2,bilgisini,7.0,29.0,obj,bilgi,NOUN,NN,"{'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
186,11,3,ayrı,5.0,4.0,amod,ayrı,ADJ,JJ,{'Number': 'Sing'},,
187,11,4,bir,5.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
188,11,5,ünite,7.0,2.0,advcl,ünite,NOUN,NN,{'Number': 'Sing'},,
189,11,6,olarak,5.0,13.0,cop,ol,AUX,CRB,{'Polarity': 'Pos'},,
190,11,7,görmek,8.0,2.0,advcl,gör,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Nom', 'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Vnoun'}",,
191,11,8,yerine,15.0,30.0,obl,yer,NOUN,NN,"{'Case': 'Dat', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,{'SpaceAfter': 'No'}
192,11,9,",",8.0,33.0,punct,",",PUNCT,",",,,
193,11,10,öğrenciler,15.0,27.0,nsubj,öğrenci,NOUN,NN,"{'Case': 'Nom', 'Number': 'Plur'}",,
194,11,11,bu,12.0,16.0,det,bu,DET,DT,"{'Definite': 'Def', 'Polarity': 'Pos'}",,
195,11,12,dersi,15.0,29.0,obj,dersi,NOUN,NN,"{'Case': 'Acc', 'Number': 'Sing'}",,
196,11,13,bizzat,14.0,3.0,advmod,bizzat,ADV,RB,,,
197,11,14,uygulayarak,15.0,2.0,advcl,uygula,ADV,CRB,,,
198,11,15,öğreniyorlar,0.0,35.0,root,öğren,VERB,VB,"{'Aspect': 'Prog', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres'}",,{'SpaceAfter': 'No'}
199,11,16,.,15.0,33.0,punct,.,PUNCT,.,,,
200,12,1,Dördüncü,2.0,4.0,amod,Dördüncü,NUM,CD,"{'Number': 'Sing', 'NumType': 'Ord'}",,
201,12,2,sınıflar,3.0,26.0,nmod:poss,sınıf,NOUN,NN,{'Number': 'Plur'},,
202,12,3,arasında,7.0,30.0,obl,ara,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
203,12,4,milli,5.0,4.0,amod,milli,ADJ,JJ,{'Number': 'Sing'},,
204,12,5,ortalamayla,6.0,26.0,nmod,ortalama,NOUN,NN,"{'Case': 'Ins', 'Number': 'Sing'}",,{'ToDo': 'nmod'}
205,12,6,aynı,7.0,4.0,amod,aynı,ADJ,JJ,{'Number': 'Sing'},,
207,12,7,seviyede,14.0,2.0,advcl,seviye,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
208,12,8,yken,7.0,13.0,cop,i,AUX,AUX,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Conv'}",,
209,12,9,sekizinci,10.0,4.0,amod,sekizinci,NUM,CD,"{'Number': 'Sing', 'NumType': 'Ord'}",,
210,12,10,sınıflarda,14.0,2.0,advcl,sınıf,NOUN,NN,"{'Case': 'Loc', 'Number': 'Plur'}",,
211,12,11,ise,10.0,13.0,cop,i,AUX,VB,"{'Mood': 'Cnd', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Pos'}",,
212,12,12,bu,13.0,16.0,det,bu,DET,DT,"{'Definite': 'Def', 'Polarity': 'Pos'}",,
213,12,13,ortalamanın,14.0,26.0,nmod:poss,ortalama,NOUN,VN,"{'Case': 'Gen', 'Number': 'Sing'}",,
215,12,14,üstünde,0.0,35.0,root,_,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
216,12,15,ler,14.0,13.0,cop,_,AUX,VB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres'}",,
217,12,16,.,14.0,33.0,punct,.,PUNCT,.,,,
218,13,1,Karşılaştıracak,2.0,29.0,obj,Karşılaştır,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Tense': 'Fut'}",,
219,13,2,olursak,14.0,2.0,advcl,ol,VERB,VB,"{'Aspect': 'Hab', 'Mood': 'CndGen', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres'}",,{'SpaceAfter': 'No'}
220,13,3,",",2.0,33.0,punct,",",PUNCT,",",,,
221,13,4,2004'te,5.0,30.0,obl,2004,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
222,13,5,açılan,8.0,1.0,acl,aç,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
223,13,6,NoMa,7.0,26.0,nmod,NoMa,PROPN,PROPN,{'Number': 'Sing'},,{'Proper': 'True'}
224,13,7,metro,8.0,26.0,nmod:poss,metro,NOUN,NN,{'Number': 'Sing'},,
225,13,8,istasyonunu,9.0,29.0,obj,istasyon,NOUN,NN,"{'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
226,13,9,inşa,14.0,14.0,csubj,inşa,NOUN,NN,{'Number': 'Sing'},,
227,13,10,etmek,9.0,11.0,compound:lvc,et,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Nom', 'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Vnoun'}",,
228,13,11,"103,7",12.0,28.0,nummod,"103,7",NUM,CD,"{'Number': 'Sing', 'NumType': 'Ord'}",,
229,13,12,milyon,13.0,28.0,nummod,milyon,NUM,CD,"{'Number': 'Sing', 'NumType': 'Ord'}",,
230,13,13,dolara,14.0,26.0,nmod,dolar,NOUN,NN,"{'Case': 'Dat', 'Number': 'Sing'}",,
